metarea,immig_stem_change,native_coll_wkwage_change,native_non_coll_wkwage_change
"Raleigh-Durham, NC",3.4,17.3,0.4
"Reading, PA",0.1,6.5,-0.7
"Redding, CA",0.2,-3.0,6.7
"Reno, NV",1.5,10.7,13.4
"Richland-Kennewick-Pasco, WA",0.9,15.0,8.1
"Richmond-Petersburg, VA",1.1,16.6,0.2
"Riverside-San Bernardino,CA",0.6,-0.6,-7.1
"Roanoke, VA",1.3,5.3,18.8
"Rochester, MN",2.9,8.4,2.3
"Rochester, NY",0.2,0.8,-8.1
"Rockford, IL",0.1,7.5,-3.2
"Rocky Mount, NC",-0.2,-13.1,-4.5
"Sacramento, CA",1.0,17.8,5.2
"Saginaw-Bay City-Midland, MI",0.2,6.1,-10.1
"St. Cloud, MN",0.0,-13.6,12.4
"St. Joseph, MO",0.0,1.5,-1.8
"St. Louis, MO-IL",0.5,2.0,-0.5
"Salem, OR",0.3,10.8,5.0
"Salinas-Sea Side-Monterey, CA",0.2,14.1,-1.3
"Salt Lake City-Ogden, UT",0.9,4.9,7.3
"San Antonio, TX",0.7,10.0,8.8
"San Diego, CA",1.9,15.4,-0.3
"San Francisco-Oakland-Vallejo, CA",2.7,25.5,1.8
"Santa Barbara-Santa Maria-Lompoc, CA",0.5,9.1,-1.9
"Santa Cruz, CA",0.7,14.1,1.4
"Santa Fe, NM",1.0,21.6,22.7
"Santa Rosa-Petaluma, CA",0.5,15.5,7.2
"Sarasota, FL",0.8,6.2,1.2
"Savannah, GA",0.3,-5.3,-5.3
"Scranton-Wilkes-Barre, PA",0.1,7.2,1.8
"Seattle-Everett, WA",3.1,24.1,6.1
"Sharon, PA",0.0,-7.8,-4.6
"Sheboygan, WI",0.2,-7.8,-6.0
"Shreveport, LA",0.0,14.8,8.1
"Sioux City, IA/NE",-0.1,-12.7,-1.6
"Sioux Falls, SD",0.1,5.1,-0.1
"South Bend-Mishawaka, IN",0.1,5.6,-7.2
"Spokane, WA",0.2,18.2,4.4
"Springfield, IL",0.2,8.3,-5.5
"Springfield, MO",0.2,-1.6,10.7
"Springfield-Holyoke-Chicopee, MA",0.7,18.8,-1.5
"State College, PA",1.1,13.3,4.0
"Stockton, CA",1.0,8.0,0.7
"Sumter, SC",-0.9,-24.3,-27.1
"Syracuse, NY",0.4,8.2,-1.2
"Tacoma, WA",0.3,12.8,12.4
"Tallahassee, FL",0.0,-15.9,-30.1
"Tampa-St. Petersburg-Clearwater, FL",0.7,6.9,7.9
"Terre Haute, IN",0.1,-17.3,7.7
"Toledo, OH/MI",0.0,1.4,-9.1
"Topeka, KS",-0.1,-7.5,-5.3
"Trenton, NJ",2.0,17.7,-1.5
"Tucson, AZ",0.6,10.2,3.3
"Tulsa, OK",0.3,7.9,2.5
"Tuscaloosa, AL",0.0,-0.4,-3.5
"Tyler, TX",0.1,21.7,3.8
"Utica-Rome, NY",0.3,1.3,7.6
"Ventura-Oxnard-Simi Valley, CA",1.0,10.5,3.3
"Vineland-Milville-Bridgetown, NJ",0.2,5.8,10.1
"Visalia-Tulare-Porterville, CA",0.3,2.3,5.8
"Waco, TX",0.5,13.4,1.1
"Washington, DC/MD/VA",2.8,28.6,6.5
"Waterbury, CT",0.5,9.0,-8.9
"Waterloo-Cedar Falls, IA",0.5,4.2,-14.3
"Wausau, WI",-0.1,6.9,11.3
"West Palm Beach-Boca Raton-Delray Beach, FL",1.0,10.9,-8.9
"Wichita, KS",0.5,8.8,-1.9
"Wichita Falls, TX",0.0,4.2,4.3
"Williamsport, PA",0.1,-2.3,-1.7
"Wilmington, DE/NJ/MD",1.0,10.0,4.2
"Wilmington, NC",0.4,14.6,2.4
"Worcester, MA",2.9,6.6,1.3
"Yakima, WA",0.0,5.4,-4.2
"Yolo, CA",1.8,10.5,5.5
"York, PA",0.1,19.5,7.1
"Youngstown-Warren, OH-PA",0.1,-4.5,-10.3
"Yuba City, CA",0.1,18.4,-0.4
"Yuma, AZ",0.1,11.2,-7.2
